step	train_score
0	0.6488022995847971
1	0.6414590307769628
2	0.6196607686433856
3	0.6051123702097105
4	0.604042527901936
5	0.6069355619245691
6	0.6103350268572286
7	0.6043908057719782
8	0.5982694834285504
9	0.5963158981436948
10	0.5963079639104369
11	0.5901990129960796
12	0.5879714723831557
13	0.5855221024187889
14	0.5861933948500881
15	0.5856772958122781
16	0.5844904228870156
17	0.5849127677364354
18	0.5816028057228223
19	0.5782824000877926
